model, mean,       std,        cv       
gbm          ,0.441,0.040,9.139
lr           ,0.436,0.044,10.180
svc_poly     ,0.402,0.042,10.466
rf           ,0.418,0.045,10.857
nb           ,0.406,0.044,10.925
svc_rbf      ,0.450,0.053,11.713
knn          ,0.419,0.053,12.610
mlp          ,0.432,0.055,12.693
svc_linear   ,0.392,0.050,12.821
