model, mean,       std,        cv
svc_poly     ,0.667,0.037,5.599
nb           ,0.621,0.041,6.639
svc_rbf      ,0.671,0.045,6.771
svc_linear   ,0.660,0.045,6.794
rf           ,0.647,0.048,7.436
lr           ,0.656,0.054,8.273
gbm          ,0.661,0.058,8.782
knn          ,0.628,0.062,9.863
mlp          ,0.642,0.064,10.016
