Модель,P-value,Levene-статистика
GBM          ,0.890,0.334
KNN          ,0.933,0.259
LR           ,0.946,0.233
MLP          ,0.621,0.706
NB           ,0.077,2.123
RF           ,0.292,1.266
SVC (LINEAR),0.880,0.350
SVC (POLY ) ,0.981,0.144
SVC (RBF),0.450,0.961
