subsample, mean, std, cv
long        ,0.410,0.037,9.114
women       ,0.422,0.040,9.550
old         ,0.388,0.040,10.426
short       ,0.432,0.048,11.185
men         ,0.421,0.053,12.519
young       ,0.455,0.057,12.603
