subsample, mean, std, cv
old         ,0.632,0.037,5.911
long        ,0.631,0.040,6.352
short       ,0.671,0.047,6.991
young       ,0.670,0.050,7.513
men         ,0.679,0.054,7.916
women       ,0.618,0.057,9.300
